age_range,industry,job_title,annual_salary,currency,country,current_years_experience,education,gender
35-44,Retail/Sales,Manager (General),87000,USD,United States,2 - 4 years,High School,Woman
35-44,Legal,Lawyer/Attorney,125000,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Real Estate,Other,55000,USD,United States,5-7 years,Some college,Woman
55-64,Legal,Lawyer/Attorney,275000,USD,United States,31 - 40 years,Master's degree,Woman
25-34,Health,Manager (General),48500,USD,United States,2 - 4 years,College degree,Woman
35-44,Engineering/Manufacturing,Software Engineer,139000,USD,United States,11 - 20 years,College degree,Woman
25-34,Legal,Paralegal,54080,USD,United States,11 - 20 years,College degree,Woman
35-44,Finance,Manager (General),170000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Marketing,Manager (General),60000,CAD,Canada,8 - 10 years,College degree,Woman
45-54,Education,Librarian,70000,USD,United States,11 - 20 years,Master's degree,Man
25-34,Nonprofit,Other,53000,USD,United States,2 - 4 years,College degree,Woman
35-44,Health,Other,82160,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Other,Other,71000,USD,United States,2 - 4 years,College degree,Woman
18-24,Engineering/Manufacturing,Other,25700,USD,United States,5-7 years,College degree,Woman
25-34,Other,Other,105000,USD,United States,8 - 10 years,College degree,Woman
35-44,Education,Supervisor,77000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Health,Other,50000,USD,United States,5-7 years,Master's degree,Woman
25-34,Education,Other,25217,GBP,United Kingdom,5-7 years,College degree,Woman
25-34,Government,Other,31616,USD,United States,2 - 4 years,College degree,Prefer not to answer
35-44,Government,Other,95000,USD,United States,8 - 10 years,Master's degree,Woman
18-24,Business/Consulting,Data Scientist/Analyst,62000,USD,United States,1 year or less,College degree,Woman
35-44,Health,QA/Test Engineer,75000,USD,United States,8 - 10 years,College degree,Woman
25-34,Education,Teacher (K-12),71000,USD,United States,5-7 years,College degree,Prefer not to answer
45-54,Information Technology,Analyst (General),88000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Engineering/Manufacturing,Other,31500,USD,United States,2 - 4 years,College degree,Woman
25-34,Health,IT/Systems,76000,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Health,Principal/Administrator (Edu),165000,USD,Other,21 - 30 years,College degree,Prefer not to answer
25-34,Finance,Analyst (General),45760,USD,United States,2 - 4 years,Some college,Woman
25-34,Marketing,Manager (General),86000,USD,United States,5-7 years,College degree,Woman
25-34,Engineering/Manufacturing,Project Manager,78240,CAD,Canada,5-7 years,Master's degree,Woman
25-34,Education,Other,56000,USD,United States,5-7 years,Master's degree,Woman
35-44,Other,Other,23050,GBP,United Kingdom,8 - 10 years,,Woman
25-34,Education,Other,67000,USD,United States,2 - 4 years,College degree,Woman
25-34,Legal,Other,125000,USD,United States,5-7 years,Master's degree,Woman
25-34,Engineering/Manufacturing,Project Manager,55000,USD,Other,2 - 4 years,College degree,Woman
35-44,Information Technology,Manager (General),125000,USD,United States,11 - 20 years,College degree,Woman
25-34,Health,Nurse,60000,USD,United States,2 - 4 years,College degree,Woman
25-34,Legal,Other,190000,USD,United States,1 year or less,Master's degree,Woman
45-54,Energy,Analyst (General),60320,USD,United States,8 - 10 years,Some college,Woman
35-44,Health,Manager (General),125000,USD,United States,2 - 4 years,PhD,Woman
45-54,Education,Teacher (K-12),94000,USD,United States,21 - 30 years,PhD,Woman
25-34,Health,Other,98000,CAD,Canada,2 - 4 years,Master's degree,Woman
35-44,Government,Administrative Assistant,49000,USD,United States,11 - 20 years,Some college,Woman
35-44,Nonprofit,Director,120000,USD,United States,11 - 20 years,College degree,Woman
25-34,Education,Teaching Assistant,28000,USD,United States,2 - 4 years,Master's degree,Prefer not to answer
55-64,Other,Consultant,135000,USD,United States,31 - 40 years,College degree,Woman
35-44,Education,Accountant,40575,USD,United States,8 - 10 years,College degree,Woman
25-34,Nonprofit,Other,75500,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Marketing,Supervisor,115000,USD,United States,5-7 years,College degree,Woman
35-44,Government,Analyst (General),70000,USD,United States,5-7 years,Master's degree,Woman
25-34,Information Technology,Other,110000,USD,United States,5-7 years,College degree,Woman
18-24,Agriculture,Engineer (Non-software),29000,USD,United States,1 year or less,Some college,Woman
55-64,Marketing,Graphic Designer,61000,USD,United States,31 - 40 years,College degree,Woman
55-64,Nonprofit,Other,47250,USD,United States,5-7 years,Master's degree,Woman
35-44,Engineering/Manufacturing,Other,96000,USD,United States,11 - 20 years,Some college,Man
35-44,Information Technology,Other,260000,EUR,Germany,11 - 20 years,High School,Prefer not to answer
35-44,Nonprofit,Marketing Manager,45000,USD,United States,11 - 20 years,College degree,Woman
25-34,Other,Other,72000,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Government,Writer/Editor,78167,USD,United States,5-7 years,Master's degree,Woman
25-34,Finance,Manager (General),132500,USD,United States,8 - 10 years,College degree,Woman
45-54,Information Technology,IT/Systems,124000,USD,United States,21 - 30 years,Master's degree,Woman
45-54,Marketing,Consultant,108000,USD,United States,21 - 30 years,College degree,Man
35-44,Finance,Principal/Administrator (Edu),110000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Education,Director,83000,USD,United States,5-7 years,Master's degree,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),110000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Education,Coordinator,45000,USD,United States,5-7 years,Master's degree,Woman
25-34,Government,Writer/Editor,91000,USD,United States,5-7 years,PhD,Woman
35-44,Engineering/Manufacturing,Manager (General),117000,USD,United States,11 - 20 years,Master's degree,Woman
45-54,Finance,Supervisor,59000,USD,United States,21 - 30 years,Some college,Woman
35-44,Education,Other,71697,USD,United States,5-7 years,Master's degree,Woman
45-54,Real Estate,Manager (General),90000,USD,United States,21 - 30 years,Some college,Woman
35-44,Education,Director,120000,USD,United States,11 - 20 years,College degree,Woman
25-34,Education,Administrative Assistant,52000,USD,United States,5-7 years,Master's degree,Prefer not to answer
25-34,Engineering/Manufacturing,Other,61500,CAD,Canada,8 - 10 years,Some college,Woman
35-44,Transportation,Other,80000,USD,United States,21 - 30 years,High School,Woman
25-34,Transportation,HR Generalist/Manager,56000,USD,United States,5-7 years,Some college,Woman
